gid,role,role_score,cluster_id,evidence,priority_score
100000003684369100,coordinator,0.75,65,"Признаки координации: 24 вх./62 исх., betweenness=0.002 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага).",0.6524925695338842
100000003037660100,peripheral,0.4,65,"Низкая активность: 1 входящих, 0 исходящих связей.",0.05651454525863326
100000001527186100,peripheral,0.4,65,"Низкая активность: 1 входящих, 0 исходящих связей.",0.06277638682268769
100000008680731100,distributor,0.9,2,Признаки распределения: 27 получателей против 0 входящих (выход в 27.0× больше входа).,0.380051337704171
100000008229700100,peripheral,0.4,2,"Низкая активность: 1 входящих, 1 исходящих связей.",0.05787579855528876
100000001072022100,peripheral,0.4,65,"Низкая активность: 3 входящих, 0 исходящих связей.",0.07020934655423382
100000002527114100,distributor,0.75,43,Признаки распределения: 111 получателей против 3 входящих (выход в 37.0× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).,0.5559577855061785
100000008768896100,peripheral,0.4,43,"Низкая активность: 1 входящих, 0 исходящих связей.",0.05647775968786985
100000005432267100,peripheral,0.4,65,"Низкая активность: 2 входящих, 0 исходящих связей.",0.06051868571382428
100000008755361100,peripheral,0.4,43,"Низкая активность: 1 входящих, 0 исходящих связей.",0.05613715213039144
100000007747786100,distributor,0.9,10,Признаки распределения: 31 получателей против 0 входящих (выход в 31.0× больше входа).,0.38683099872112015
100000004159526100,coordinator,0.75,19,"Признаки координации: 4 вх./4 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага).",0.4373396997774797
100000003970394100,peripheral,0.4,2,"Низкая активность: 1 входящих, 0 исходящих связей.",0.05668935199881819
100000004254434100,peripheral,0.4,43,"Низкая активность: 1 входящих, 0 исходящих связей.",0.0564502972649424
100000007982728100,distributor,0.9,34,Признаки распределения: 8 получателей против 0 входящих (выход в 8.0× больше входа).,0.3478479478736625
100000003977183100,peripheral,0.4,34,"Низкая активность: 2 входящих, 4 исходящих связей. Входит в короткий возвратный цикл переводов (≤4 шага).",0.06677195464443522
100000003016635100,distributor,0.75,21,Признаки распределения: 73 получателей против 8 входящих (выход в 9.1× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).,0.5971523724407948
100000000440392100,peripheral,0.4,21,"Низкая активность: 1 входящих, 0 исходящих связей.",0.0565522052828923
100000008744849100,peripheral,0.4,43,"Низкая активность: 1 входящих, 0 исходящих связей.",0.0564502972649424
